order_id,item_name,item_quantity,date,time
1001,German Pork Schnitzel,3,2026-02-23,00:13
1002,German Pork Schnitzel,4,2026-02-23,03:13
1003,Bratwurst Sausage Plate,3,2026-02-23,08:13
1004,German Pork Schnitzel,2,2026-02-23,09:13
1005,Pretzel with Cheese Dip,4,2026-02-23,14:13
1006,Bratwurst Sausage Plate,4,2026-02-23,17:13
1007,Bratwurst Sausage Plate,4,2026-02-23,18:13
1008,German Pork Schnitzel,4,2026-02-23,21:13
1009,Grilled Sausage Platter,4,2026-02-24,00:13
1010,Bratwurst Sausage Plate,2,2026-02-24,05:13
1011,German Pork Schnitzel,1,2026-02-24,06:13
1012,Pretzel with Cheese Dip,1,2026-02-24,10:13
1013,Grilled Sausage Platter,3,2026-02-24,14:13
1014,Grilled Sausage Platter,2,2026-02-24,16:13
1015,Pretzel with Cheese Dip,2,2026-02-24,18:13
1016,Grilled Sausage Platter,3,2026-02-24,21:13
1017,German Pork Schnitzel,2,2026-02-25,00:13
1018,Pretzel with Cheese Dip,4,2026-02-25,04:13
1019,German Pork Schnitzel,2,2026-02-25,08:13
1020,Pretzel with Cheese Dip,2,2026-02-25,10:13
1021,Bratwurst Sausage Plate,1,2026-02-25,12:13
1022,Bratwurst Sausage Plate,3,2026-02-25,17:13
1023,Bratwurst Sausage Plate,4,2026-02-25,20:13
1024,German Pork Schnitzel,4,2026-02-25,22:13
1025,Pretzel with Cheese Dip,2,2026-02-26,01:13
1026,Grilled Sausage Platter,3,2026-02-26,05:13
1027,Pretzel with Cheese Dip,3,2026-02-26,07:13
1028,Grilled Sausage Platter,3,2026-02-26,11:13
1029,Grilled Sausage Platter,4,2026-02-26,13:13
1030,Pretzel with Cheese Dip,1,2026-02-26,17:13
1031,German Pork Schnitzel,2,2026-02-26,18:13
1032,Bratwurst Sausage Plate,1,2026-02-26,21:13
1033,Pretzel with Cheese Dip,4,2026-02-27,01:13
1034,Pretzel with Cheese Dip,4,2026-02-27,03:13
1035,Bratwurst Sausage Plate,2,2026-02-27,08:13
1036,German Pork Schnitzel,4,2026-02-27,10:13
1037,German Pork Schnitzel,2,2026-02-27,12:13
1038,Pretzel with Cheese Dip,3,2026-02-27,17:13
1039,Bratwurst Sausage Plate,2,2026-02-27,18:13
1040,Pretzel with Cheese Dip,3,2026-02-27,21:13
1041,Pretzel with Cheese Dip,4,2026-02-28,00:13
1042,German Pork Schnitzel,1,2026-02-28,03:13
1043,Pretzel with Cheese Dip,4,2026-02-28,08:13
1044,German Pork Schnitzel,4,2026-02-28,09:13
1045,Pretzel with Cheese Dip,1,2026-02-28,14:13
1046,German Pork Schnitzel,4,2026-02-28,15:13
1047,German Pork Schnitzel,4,2026-02-28,19:13
1048,Bratwurst Sausage Plate,3,2026-02-28,23:13
1049,Bratwurst Sausage Plate,1,2026-03-01,01:13
1050,Grilled Sausage Platter,3,2026-03-01,03:13
1051,Pretzel with Cheese Dip,2,2026-03-05,00:16
1052,German Pork Schnitzel,1,2026-03-05,00:17
