order_id,item_name,item_quantity,date,time
1001,Chicken Biryani,3,2026-02-23,08:33
1002,Chicken Biryani,3,2026-02-23,10:33
1003,Chicken Biryani,2,2026-02-23,12:33
1004,Butter Chicken,1,2026-02-23,15:33
1005,Mutton Rogan Josh,2,2026-02-23,19:33
1006,Saffron Lassi,4,2026-02-23,21:33
1007,Butter Chicken,4,2026-02-24,00:33
1008,Mutton Rogan Josh,4,2026-02-24,04:33
1009,Chicken Biryani,4,2026-02-24,08:33
1010,Saffron Lassi,4,2026-02-24,11:33
1011,Saffron Lassi,3,2026-02-24,12:33
1012,Saffron Lassi,1,2026-02-24,17:33
1013,Mutton Rogan Josh,1,2026-02-24,20:33
1014,Chicken Biryani,3,2026-02-24,22:33
1015,Butter Chicken,3,2026-02-25,01:33
1016,Butter Chicken,4,2026-02-25,03:33
1017,Mutton Rogan Josh,4,2026-02-25,07:33
1018,Chicken Biryani,2,2026-02-25,11:33
1019,Butter Chicken,4,2026-02-25,12:33
1020,Saffron Lassi,3,2026-02-25,16:33
1021,Mutton Rogan Josh,2,2026-02-25,20:33
1022,Mutton Rogan Josh,2,2026-02-25,23:33
1023,Butter Chicken,1,2026-02-26,02:33
1024,Mutton Rogan Josh,2,2026-02-26,04:33
1025,Butter Chicken,3,2026-02-26,06:33
1026,Chicken Biryani,4,2026-02-26,11:33
1027,Chicken Biryani,4,2026-02-26,13:33
1028,Butter Chicken,2,2026-02-26,17:33
1029,Saffron Lassi,1,2026-02-26,19:33
1030,Mutton Rogan Josh,4,2026-02-26,21:33
1031,Saffron Lassi,3,2026-02-27,00:33
1032,Mutton Rogan Josh,4,2026-02-27,05:33
1033,Saffron Lassi,3,2026-02-27,08:33
1034,Chicken Biryani,3,2026-02-27,10:33
1035,Butter Chicken,2,2026-02-27,14:33
1036,Saffron Lassi,4,2026-02-27,17:33
1037,Saffron Lassi,2,2026-02-27,19:33
1038,Mutton Rogan Josh,3,2026-02-27,21:33
1039,Saffron Lassi,3,2026-02-28,00:33
1040,Butter Chicken,2,2026-02-28,05:33
1041,Butter Chicken,3,2026-02-28,07:33
1042,Saffron Lassi,1,2026-02-28,09:33
1043,Chicken Biryani,2,2026-02-28,12:33
1044,Chicken Biryani,1,2026-02-28,15:33
1045,Butter Chicken,4,2026-02-28,18:33
1046,Chicken Biryani,1,2026-02-28,23:33
1047,Butter Chicken,4,2026-03-01,02:33
1048,Chicken Biryani,2,2026-03-01,05:33
1049,Butter Chicken,2,2026-03-01,07:33
1050,Chicken Biryani,3,2026-03-01,10:33
1051,Mutton Rogan Josh,1,2026-03-05,06:34
