order_id,item_name,item_quantity,date,time
1001,Garlic Butter Steak,3,2026-02-23,08:13
1002,Grilled Chicken Skewers,1,2026-02-23,10:13
1003,Brazilian Cheese Bread,3,2026-02-23,13:13
1004,Picanha Steak,3,2026-02-23,16:13
1005,Grilled Chicken Skewers,3,2026-02-23,21:13
1006,Picanha Steak,1,2026-02-23,23:13
1007,Brazilian Cheese Bread,2,2026-02-24,01:13
1008,Picanha Steak,3,2026-02-24,06:13
1009,Brazilian Cheese Bread,3,2026-02-24,07:13
1010,Garlic Butter Steak,1,2026-02-24,11:13
1011,Grilled Chicken Skewers,2,2026-02-24,15:13
1012,Brazilian Cheese Bread,2,2026-02-24,16:13
1013,Brazilian Cheese Bread,4,2026-02-24,21:13
1014,Grilled Chicken Skewers,1,2026-02-25,00:13
1015,Picanha Steak,3,2026-02-25,02:13
1016,Brazilian Cheese Bread,1,2026-02-25,04:13
1017,Garlic Butter Steak,1,2026-02-25,07:13
1018,Brazilian Cheese Bread,4,2026-02-25,12:13
1019,Garlic Butter Steak,3,2026-02-25,13:13
1020,Brazilian Cheese Bread,2,2026-02-25,18:13
1021,Brazilian Cheese Bread,1,2026-02-25,21:13
1022,Brazilian Cheese Bread,3,2026-02-26,00:13
1023,Grilled Chicken Skewers,4,2026-02-26,02:13
1024,Brazilian Cheese Bread,4,2026-02-26,05:13
1025,Garlic Butter Steak,3,2026-02-26,09:13
1026,Picanha Steak,4,2026-02-26,12:13
1027,Grilled Chicken Skewers,4,2026-02-26,14:13
1028,Garlic Butter Steak,1,2026-02-26,16:13
1029,Brazilian Cheese Bread,3,2026-02-26,20:13
1030,Grilled Chicken Skewers,1,2026-02-27,00:13
1031,Grilled Chicken Skewers,3,2026-02-27,02:13
1032,Garlic Butter Steak,3,2026-02-27,04:13
1033,Picanha Steak,4,2026-02-27,07:13
1034,Picanha Steak,3,2026-02-27,11:13
1035,Garlic Butter Steak,4,2026-02-27,14:13
1036,Garlic Butter Steak,1,2026-02-27,17:13
1037,Grilled Chicken Skewers,3,2026-02-27,21:13
1038,Garlic Butter Steak,2,2026-02-27,22:13
1039,Grilled Chicken Skewers,2,2026-02-28,02:13
1040,Garlic Butter Steak,2,2026-02-28,06:13
1041,Grilled Chicken Skewers,4,2026-02-28,07:13
1042,Picanha Steak,1,2026-02-28,11:13
1043,Garlic Butter Steak,1,2026-02-28,15:13
1044,Picanha Steak,1,2026-02-28,17:13
1045,Picanha Steak,1,2026-02-28,19:13
1046,Grilled Chicken Skewers,4,2026-02-28,22:13
1047,Garlic Butter Steak,1,2026-03-01,03:13
1048,Grilled Chicken Skewers,3,2026-03-01,05:13
1049,Garlic Butter Steak,2,2026-03-01,08:13
1050,Brazilian Cheese Bread,1,2026-03-01,12:13
