order_id,item_name,item_quantity,date,time
1001,Churros with Chocolate,2,2026-02-23,00:43
1002,Garlic Shrimp Tapas,4,2026-02-23,03:43
1003,Garlic Shrimp Tapas,2,2026-02-23,05:43
1004,Garlic Shrimp Tapas,2,2026-02-23,08:43
1005,Spanish Chicken Croquettes,2,2026-02-23,12:43
1006,Patatas Bravas,1,2026-02-23,14:43
1007,Patatas Bravas,2,2026-02-23,18:43
1008,Garlic Shrimp Tapas,1,2026-02-23,21:43
1009,Spanish Chicken Croquettes,1,2026-02-24,00:43
1010,Garlic Shrimp Tapas,1,2026-02-24,03:43
1011,Spanish Chicken Croquettes,3,2026-02-24,07:43
1012,Spanish Chicken Croquettes,3,2026-02-24,10:43
1013,Spanish Chicken Croquettes,3,2026-02-24,13:43
1014,Spanish Chicken Croquettes,4,2026-02-24,14:43
1015,Garlic Shrimp Tapas,4,2026-02-24,18:43
1016,Garlic Shrimp Tapas,1,2026-02-24,20:43
1017,Garlic Shrimp Tapas,4,2026-02-25,00:43
1018,Spanish Chicken Croquettes,2,2026-02-25,02:43
1019,Patatas Bravas,3,2026-02-25,05:43
1020,Garlic Shrimp Tapas,4,2026-02-25,10:43
1021,Patatas Bravas,2,2026-02-25,11:43
1022,Churros with Chocolate,3,2026-02-25,16:43
1023,Spanish Chicken Croquettes,3,2026-02-25,18:43
1024,Patatas Bravas,1,2026-02-25,21:43
1025,Spanish Chicken Croquettes,2,2026-02-25,23:43
1026,Garlic Shrimp Tapas,3,2026-02-26,02:43
1027,Spanish Chicken Croquettes,3,2026-02-26,07:43
1028,Churros with Chocolate,2,2026-02-26,08:43
1029,Spanish Chicken Croquettes,2,2026-02-26,13:43
1030,Patatas Bravas,3,2026-02-26,15:43
1031,Churros with Chocolate,2,2026-02-26,18:43
1032,Spanish Chicken Croquettes,4,2026-02-26,20:43
1033,Churros with Chocolate,2,2026-02-26,23:43
1034,Patatas Bravas,3,2026-02-27,02:43
1035,Churros with Chocolate,2,2026-02-27,06:43
1036,Patatas Bravas,3,2026-02-27,09:43
1037,Garlic Shrimp Tapas,1,2026-02-27,12:43
1038,Churros with Chocolate,2,2026-02-27,15:43
1039,Churros with Chocolate,4,2026-02-27,18:43
1040,Spanish Chicken Croquettes,4,2026-02-27,20:43
1041,Patatas Bravas,2,2026-02-28,01:43
1042,Garlic Shrimp Tapas,1,2026-02-28,04:43
1043,Spanish Chicken Croquettes,2,2026-02-28,06:43
1044,Churros with Chocolate,3,2026-02-28,08:43
1045,Patatas Bravas,2,2026-02-28,12:43
1046,Patatas Bravas,2,2026-02-28,14:43
1047,Spanish Chicken Croquettes,4,2026-02-28,17:43
1048,Spanish Chicken Croquettes,1,2026-02-28,21:43
1049,Garlic Shrimp Tapas,4,2026-03-01,01:43
1050,Patatas Bravas,3,2026-03-01,02:43
1051,Spanish Chicken Croquettes,1,2026-03-04,23:59
