order_id,item_name,item_quantity,date,time
1001,Tom Yum Soup,2,2026-02-23,06:12
1002,Thai Basil Chicken,3,2026-02-23,09:12
1003,Mango Sticky Rice,4,2026-02-23,12:12
1004,Thai Basil Chicken,2,2026-02-23,16:12
1005,Pad Thai Noodles,4,2026-02-23,20:12
1006,Pad Thai Noodles,2,2026-02-23,21:12
1007,Mango Sticky Rice,3,2026-02-24,02:12
1008,Mango Sticky Rice,2,2026-02-24,05:12
1009,Mango Sticky Rice,4,2026-02-24,07:12
1010,Thai Basil Chicken,1,2026-02-24,10:12
1011,Thai Basil Chicken,2,2026-02-24,14:12
1012,Mango Sticky Rice,3,2026-02-24,17:12
1013,Pad Thai Noodles,4,2026-02-24,19:12
1014,Pad Thai Noodles,3,2026-02-24,22:12
1015,Tom Yum Soup,2,2026-02-25,02:12
1016,Pad Thai Noodles,4,2026-02-25,04:12
1017,Thai Basil Chicken,3,2026-02-25,08:12
1018,Mango Sticky Rice,3,2026-02-25,10:12
1019,Thai Basil Chicken,4,2026-02-25,12:12
1020,Mango Sticky Rice,2,2026-02-25,17:12
1021,Mango Sticky Rice,2,2026-02-25,18:12
1022,Tom Yum Soup,2,2026-02-25,23:12
1023,Mango Sticky Rice,2,2026-02-26,01:12
1024,Thai Basil Chicken,2,2026-02-26,04:12
1025,Mango Sticky Rice,2,2026-02-26,08:12
1026,Tom Yum Soup,3,2026-02-26,11:12
1027,Pad Thai Noodles,4,2026-02-26,14:12
1028,Thai Basil Chicken,1,2026-02-26,15:12
1029,Pad Thai Noodles,4,2026-02-26,20:12
1030,Tom Yum Soup,2,2026-02-26,22:12
1031,Tom Yum Soup,3,2026-02-27,02:12
1032,Tom Yum Soup,2,2026-02-27,05:12
1033,Thai Basil Chicken,1,2026-02-27,06:12
1034,Tom Yum Soup,1,2026-02-27,10:12
1035,Tom Yum Soup,3,2026-02-27,13:12
1036,Tom Yum Soup,4,2026-02-27,15:12
1037,Thai Basil Chicken,3,2026-02-27,20:12
1038,Thai Basil Chicken,3,2026-02-27,21:12
1039,Tom Yum Soup,2,2026-02-28,01:12
1040,Pad Thai Noodles,2,2026-02-28,04:12
1041,Pad Thai Noodles,1,2026-02-28,07:12
1042,Mango Sticky Rice,1,2026-02-28,09:12
1043,Tom Yum Soup,2,2026-02-28,13:12
1044,Pad Thai Noodles,1,2026-02-28,17:12
1045,Tom Yum Soup,3,2026-02-28,18:12
1046,Thai Basil Chicken,3,2026-02-28,22:12
1047,Mango Sticky Rice,4,2026-03-01,01:12
1048,Mango Sticky Rice,3,2026-03-01,05:12
1049,Tom Yum Soup,1,2026-03-01,07:12
1050,Tom Yum Soup,2,2026-03-01,10:12
1051,Thai Basil Chicken,1,2026-03-05,06:13
