order_id,item_name,item_quantity,date,time
1001,Korean BBQ Chicken,2,2026-02-23,08:43
1002,Bulgogi Beef BBQ,1,2026-02-23,10:43
1003,Korean BBQ Chicken,1,2026-02-23,12:43
1004,Spicy Pork BBQ,1,2026-02-23,16:43
1005,Spicy Pork BBQ,2,2026-02-23,20:43
1006,Kimchi Fried Rice,2,2026-02-23,22:43
1007,Korean BBQ Chicken,2,2026-02-24,01:43
1008,Bulgogi Beef BBQ,1,2026-02-24,04:43
1009,Korean BBQ Chicken,3,2026-02-24,06:43
1010,Bulgogi Beef BBQ,4,2026-02-24,10:43
1011,Bulgogi Beef BBQ,3,2026-02-24,14:43
1012,Korean BBQ Chicken,3,2026-02-24,16:43
1013,Kimchi Fried Rice,4,2026-02-24,19:43
1014,Bulgogi Beef BBQ,3,2026-02-24,21:43
1015,Spicy Pork BBQ,1,2026-02-25,01:43
1016,Bulgogi Beef BBQ,2,2026-02-25,04:43
1017,Korean BBQ Chicken,1,2026-02-25,08:43
1018,Kimchi Fried Rice,3,2026-02-25,11:43
1019,Kimchi Fried Rice,3,2026-02-25,13:43
1020,Kimchi Fried Rice,2,2026-02-25,16:43
1021,Spicy Pork BBQ,4,2026-02-25,20:43
1022,Bulgogi Beef BBQ,4,2026-02-25,23:43
1023,Bulgogi Beef BBQ,4,2026-02-26,00:43
1024,Korean BBQ Chicken,1,2026-02-26,04:43
1025,Kimchi Fried Rice,3,2026-02-26,07:43
1026,Spicy Pork BBQ,3,2026-02-26,11:43
1027,Bulgogi Beef BBQ,4,2026-02-26,14:43
1028,Korean BBQ Chicken,3,2026-02-26,16:43
1029,Korean BBQ Chicken,3,2026-02-26,20:43
1030,Kimchi Fried Rice,1,2026-02-26,21:43
1031,Korean BBQ Chicken,3,2026-02-27,02:43
1032,Korean BBQ Chicken,3,2026-02-27,03:43
1033,Bulgogi Beef BBQ,2,2026-02-27,06:43
1034,Korean BBQ Chicken,4,2026-02-27,10:43
1035,Korean BBQ Chicken,2,2026-02-27,13:43
1036,Kimchi Fried Rice,2,2026-02-27,17:43
1037,Spicy Pork BBQ,1,2026-02-27,18:43
1038,Korean BBQ Chicken,2,2026-02-27,21:43
1039,Kimchi Fried Rice,2,2026-02-28,01:43
1040,Spicy Pork BBQ,3,2026-02-28,03:43
1041,Kimchi Fried Rice,2,2026-02-28,06:43
1042,Bulgogi Beef BBQ,1,2026-02-28,10:43
1043,Kimchi Fried Rice,3,2026-02-28,12:43
1044,Kimchi Fried Rice,4,2026-02-28,15:43
1045,Bulgogi Beef BBQ,4,2026-02-28,18:43
1046,Bulgogi Beef BBQ,1,2026-02-28,23:43
1047,Korean BBQ Chicken,4,2026-03-01,02:43
1048,Kimchi Fried Rice,1,2026-03-01,04:43
1049,Bulgogi Beef BBQ,4,2026-03-01,07:43
1050,Bulgogi Beef BBQ,1,2026-03-01,11:43
