order_id,item_name,item_quantity,date,time
1001,Chicken Pho Soup,4,2026-02-23,09:01
1002,Beef Pho Noodle Soup,3,2026-02-23,12:01
1003,Vietnamese Spring Rolls,1,2026-02-23,13:01
1004,Vietnamese Iced Coffee,4,2026-02-23,18:01
1005,Beef Pho Noodle Soup,4,2026-02-23,20:01
1006,Vietnamese Iced Coffee,2,2026-02-23,23:01
1007,Vietnamese Iced Coffee,4,2026-02-24,01:01
1008,Vietnamese Spring Rolls,1,2026-02-24,04:01
1009,Vietnamese Iced Coffee,1,2026-02-24,08:01
1010,Beef Pho Noodle Soup,2,2026-02-24,10:01
1011,Beef Pho Noodle Soup,2,2026-02-24,15:01
1012,Vietnamese Spring Rolls,2,2026-02-24,17:01
1013,Vietnamese Iced Coffee,1,2026-02-24,19:01
1014,Beef Pho Noodle Soup,3,2026-02-24,22:01
1015,Vietnamese Iced Coffee,4,2026-02-25,02:01
1016,Vietnamese Iced Coffee,2,2026-02-25,05:01
1017,Vietnamese Iced Coffee,2,2026-02-25,07:01
1018,Beef Pho Noodle Soup,3,2026-02-25,10:01
1019,Vietnamese Iced Coffee,3,2026-02-25,14:01
1020,Beef Pho Noodle Soup,4,2026-02-25,17:01
1021,Beef Pho Noodle Soup,4,2026-02-25,21:01
1022,Vietnamese Iced Coffee,1,2026-02-25,22:01
1023,Beef Pho Noodle Soup,1,2026-02-26,01:01
1024,Beef Pho Noodle Soup,4,2026-02-26,05:01
1025,Beef Pho Noodle Soup,3,2026-02-26,09:01
1026,Vietnamese Spring Rolls,1,2026-02-26,10:01
1027,Chicken Pho Soup,3,2026-02-26,13:01
1028,Vietnamese Iced Coffee,4,2026-02-26,16:01
1029,Vietnamese Iced Coffee,1,2026-02-26,21:01
1030,Vietnamese Spring Rolls,4,2026-02-27,00:01
1031,Vietnamese Spring Rolls,3,2026-02-27,03:01
1032,Vietnamese Iced Coffee,2,2026-02-27,06:01
1033,Chicken Pho Soup,1,2026-02-27,09:01
1034,Beef Pho Noodle Soup,3,2026-02-27,10:01
1035,Chicken Pho Soup,3,2026-02-27,13:01
1036,Vietnamese Iced Coffee,4,2026-02-27,18:01
1037,Chicken Pho Soup,4,2026-02-27,19:01
1038,Beef Pho Noodle Soup,3,2026-02-27,23:01
1039,Chicken Pho Soup,4,2026-02-28,02:01
1040,Vietnamese Iced Coffee,4,2026-02-28,05:01
1041,Chicken Pho Soup,2,2026-02-28,09:01
1042,Vietnamese Spring Rolls,3,2026-02-28,10:01
1043,Chicken Pho Soup,3,2026-02-28,14:01
1044,Chicken Pho Soup,3,2026-02-28,18:01
1045,Vietnamese Iced Coffee,2,2026-02-28,20:01
1046,Vietnamese Spring Rolls,3,2026-03-01,00:01
1047,Beef Pho Noodle Soup,2,2026-03-01,01:01
1048,Beef Pho Noodle Soup,4,2026-03-01,06:01
1049,Vietnamese Iced Coffee,3,2026-03-01,07:01
1050,Beef Pho Noodle Soup,4,2026-03-01,12:01
