order_id,item_name,item_quantity,date,time
1001,Brazilian Beef Skewers,4,2026-02-23,02:06
1002,Brazilian Beef Skewers,2,2026-02-23,05:06
1003,Picanha Steak,3,2026-02-23,06:06
1004,Picanha Steak,2,2026-02-23,10:06
1005,Garlic Butter Chicken,3,2026-02-23,13:06
1006,Brazilian Cheese Bread,3,2026-02-23,17:06
1007,Brazilian Beef Skewers,1,2026-02-23,19:06
1008,Garlic Butter Chicken,2,2026-02-23,22:06
1009,Garlic Butter Chicken,2,2026-02-24,00:06
1010,Brazilian Beef Skewers,4,2026-02-24,04:06
1011,Garlic Butter Chicken,1,2026-02-24,07:06
1012,Picanha Steak,4,2026-02-24,09:06
1013,Garlic Butter Chicken,3,2026-02-24,14:06
1014,Brazilian Beef Skewers,4,2026-02-24,17:06
1015,Garlic Butter Chicken,1,2026-02-24,18:06
1016,Brazilian Beef Skewers,3,2026-02-24,21:06
1017,Garlic Butter Chicken,2,2026-02-25,00:06
1018,Garlic Butter Chicken,4,2026-02-25,03:06
1019,Brazilian Beef Skewers,1,2026-02-25,07:06
1020,Brazilian Cheese Bread,2,2026-02-25,09:06
1021,Brazilian Beef Skewers,1,2026-02-25,14:06
1022,Garlic Butter Chicken,1,2026-02-25,15:06
1023,Brazilian Cheese Bread,2,2026-02-25,20:06
1024,Garlic Butter Chicken,4,2026-02-25,22:06
1025,Brazilian Cheese Bread,4,2026-02-26,00:06
1026,Picanha Steak,1,2026-02-26,03:06
1027,Brazilian Cheese Bread,3,2026-02-26,07:06
1028,Garlic Butter Chicken,1,2026-02-26,10:06
1029,Picanha Steak,3,2026-02-26,13:06
1030,Picanha Steak,3,2026-02-26,17:06
1031,Brazilian Cheese Bread,4,2026-02-26,20:06
1032,Picanha Steak,3,2026-02-26,22:06
1033,Brazilian Cheese Bread,2,2026-02-27,02:06
1034,Garlic Butter Chicken,2,2026-02-27,05:06
1035,Brazilian Beef Skewers,4,2026-02-27,06:06
1036,Brazilian Cheese Bread,4,2026-02-27,10:06
1037,Picanha Steak,4,2026-02-27,12:06
1038,Brazilian Beef Skewers,1,2026-02-27,15:06
1039,Garlic Butter Chicken,2,2026-02-27,18:06
1040,Brazilian Cheese Bread,1,2026-02-27,22:06
1041,Garlic Butter Chicken,3,2026-02-28,00:06
1042,Picanha Steak,1,2026-02-28,05:06
1043,Brazilian Cheese Bread,4,2026-02-28,08:06
1044,Brazilian Cheese Bread,4,2026-02-28,09:06
1045,Garlic Butter Chicken,1,2026-02-28,14:06
1046,Garlic Butter Chicken,2,2026-02-28,15:06
1047,Brazilian Beef Skewers,1,2026-02-28,19:06
1048,Brazilian Cheese Bread,3,2026-02-28,22:06
1049,Brazilian Cheese Bread,4,2026-03-01,01:06
1050,Picanha Steak,3,2026-03-01,04:06
