order_id,item_name,item_quantity,date,time
1001,Mac and Cheese Bowl,1,2026-02-23,06:45
1002,BBQ Pork Ribs,2,2026-02-23,11:45
1003,Grilled BBQ Chicken,4,2026-02-23,13:45
1004,Grilled BBQ Chicken,2,2026-02-23,15:45
1005,Grilled BBQ Chicken,2,2026-02-23,19:45
1006,Mac and Cheese Bowl,3,2026-02-23,23:45
1007,Grilled BBQ Chicken,2,2026-02-24,00:45
1008,Texas Beef Brisket,4,2026-02-24,05:45
1009,Mac and Cheese Bowl,1,2026-02-24,06:45
1010,BBQ Pork Ribs,2,2026-02-24,09:45
1011,Mac and Cheese Bowl,2,2026-02-24,13:45
1012,BBQ Pork Ribs,2,2026-02-24,15:45
1013,Texas Beef Brisket,2,2026-02-24,18:45
1014,Mac and Cheese Bowl,1,2026-02-24,23:45
1015,Mac and Cheese Bowl,2,2026-02-25,01:45
1016,Mac and Cheese Bowl,1,2026-02-25,03:45
1017,Grilled BBQ Chicken,4,2026-02-25,07:45
1018,Grilled BBQ Chicken,1,2026-02-25,09:45
1019,BBQ Pork Ribs,4,2026-02-25,12:45
1020,Mac and Cheese Bowl,4,2026-02-25,15:45
1021,BBQ Pork Ribs,3,2026-02-25,19:45
1022,BBQ Pork Ribs,1,2026-02-25,23:45
1023,Mac and Cheese Bowl,1,2026-02-26,02:45
1024,Mac and Cheese Bowl,3,2026-02-26,05:45
1025,BBQ Pork Ribs,4,2026-02-26,08:45
1026,BBQ Pork Ribs,4,2026-02-26,10:45
1027,BBQ Pork Ribs,4,2026-02-26,12:45
1028,BBQ Pork Ribs,3,2026-02-26,15:45
1029,Texas Beef Brisket,3,2026-02-26,19:45
1030,Mac and Cheese Bowl,1,2026-02-26,23:45
1031,BBQ Pork Ribs,3,2026-02-27,01:45
1032,Grilled BBQ Chicken,3,2026-02-27,03:45
1033,Mac and Cheese Bowl,3,2026-02-27,08:45
1034,Grilled BBQ Chicken,3,2026-02-27,10:45
1035,Grilled BBQ Chicken,1,2026-02-27,12:45
1036,Texas Beef Brisket,4,2026-02-27,15:45
1037,Mac and Cheese Bowl,2,2026-02-27,19:45
1038,Mac and Cheese Bowl,3,2026-02-27,23:45
1039,Texas Beef Brisket,2,2026-02-28,02:45
1040,Grilled BBQ Chicken,1,2026-02-28,05:45
1041,Grilled BBQ Chicken,3,2026-02-28,07:45
1042,Mac and Cheese Bowl,3,2026-02-28,10:45
1043,BBQ Pork Ribs,2,2026-02-28,14:45
1044,Texas Beef Brisket,1,2026-02-28,15:45
1045,Grilled BBQ Chicken,4,2026-02-28,19:45
1046,Texas Beef Brisket,3,2026-02-28,22:45
1047,Mac and Cheese Bowl,2,2026-03-01,02:45
1048,Grilled BBQ Chicken,4,2026-03-01,04:45
1049,Texas Beef Brisket,2,2026-03-01,07:45
1050,BBQ Pork Ribs,4,2026-03-01,09:45
