order_id,item_name,item_quantity,date,time
1001,Turkish Coffee,2,2026-02-23,07:06
1002,Turkish Delight,4,2026-02-23,11:06
1003,Turkish Coffee,3,2026-02-23,13:06
1004,Turkish Coffee,3,2026-02-23,16:06
1005,Turkish Coffee,4,2026-02-23,19:06
1006,Turkish Coffee,4,2026-02-24,00:06
1007,Kunafa Dessert,2,2026-02-24,03:06
1008,Classic Pistachio Baklava,2,2026-02-24,05:06
1009,Kunafa Dessert,2,2026-02-24,08:06
1010,Classic Pistachio Baklava,4,2026-02-24,11:06
1011,Turkish Coffee,4,2026-02-24,14:06
1012,Kunafa Dessert,1,2026-02-24,17:06
1013,Turkish Delight,1,2026-02-24,19:06
1014,Kunafa Dessert,4,2026-02-24,23:06
1015,Classic Pistachio Baklava,4,2026-02-25,02:06
1016,Turkish Delight,3,2026-02-25,04:06
1017,Classic Pistachio Baklava,1,2026-02-25,09:06
1018,Turkish Delight,3,2026-02-25,10:06
1019,Classic Pistachio Baklava,4,2026-02-25,14:06
1020,Turkish Delight,1,2026-02-25,18:06
1021,Classic Pistachio Baklava,4,2026-02-25,19:06
1022,Classic Pistachio Baklava,3,2026-02-26,00:06
1023,Classic Pistachio Baklava,3,2026-02-26,02:06
1024,Classic Pistachio Baklava,3,2026-02-26,06:06
1025,Turkish Coffee,3,2026-02-26,08:06
1026,Kunafa Dessert,4,2026-02-26,12:06
1027,Kunafa Dessert,2,2026-02-26,13:06
1028,Turkish Coffee,3,2026-02-26,17:06
1029,Turkish Delight,1,2026-02-26,19:06
1030,Classic Pistachio Baklava,3,2026-02-26,23:06
1031,Classic Pistachio Baklava,3,2026-02-27,03:06
1032,Classic Pistachio Baklava,3,2026-02-27,06:06
1033,Turkish Delight,3,2026-02-27,07:06
1034,Classic Pistachio Baklava,1,2026-02-27,11:06
1035,Turkish Coffee,4,2026-02-27,13:06
1036,Turkish Coffee,4,2026-02-27,17:06
1037,Classic Pistachio Baklava,4,2026-02-27,19:06
1038,Turkish Delight,2,2026-02-27,22:06
1039,Turkish Delight,3,2026-02-28,03:06
1040,Turkish Coffee,1,2026-02-28,06:06
1041,Turkish Delight,1,2026-02-28,07:06
1042,Turkish Delight,3,2026-02-28,10:06
1043,Turkish Delight,4,2026-02-28,13:06
1044,Turkish Coffee,2,2026-02-28,18:06
1045,Classic Pistachio Baklava,2,2026-02-28,21:06
1046,Classic Pistachio Baklava,1,2026-02-28,23:06
1047,Turkish Coffee,3,2026-03-01,02:06
1048,Turkish Coffee,1,2026-03-01,06:06
1049,Kunafa Dessert,4,2026-03-01,08:06
1050,Kunafa Dessert,4,2026-03-01,10:06
