order_id,item_name,item_quantity,date,time
1001,Classic Vanilla Gelato,3,2026-02-23,08:35
1002,Classic Vanilla Gelato,4,2026-02-23,10:35
1003,Classic Vanilla Gelato,1,2026-02-23,13:35
1004,Strawberry Cheesecake Slice,4,2026-02-23,15:35
1005,Strawberry Cheesecake Slice,3,2026-02-23,18:35
1006,Chocolate Hazelnut Gelato,4,2026-02-23,23:35
1007,Classic Vanilla Gelato,2,2026-02-24,01:35
1008,Chocolate Hazelnut Gelato,4,2026-02-24,05:35
1009,Italian Tiramisu,1,2026-02-24,06:35
1010,Chocolate Hazelnut Gelato,3,2026-02-24,11:35
1011,Italian Tiramisu,1,2026-02-24,12:35
1012,Italian Tiramisu,2,2026-02-24,16:35
1013,Classic Vanilla Gelato,3,2026-02-24,18:35
1014,Classic Vanilla Gelato,1,2026-02-24,21:35
1015,Strawberry Cheesecake Slice,1,2026-02-25,02:35
1016,Chocolate Hazelnut Gelato,2,2026-02-25,04:35
1017,Italian Tiramisu,2,2026-02-25,06:35
1018,Strawberry Cheesecake Slice,1,2026-02-25,10:35
1019,Chocolate Hazelnut Gelato,1,2026-02-25,14:35
1020,Italian Tiramisu,1,2026-02-25,15:35
1021,Strawberry Cheesecake Slice,2,2026-02-25,19:35
1022,Classic Vanilla Gelato,1,2026-02-25,22:35
1023,Italian Tiramisu,3,2026-02-26,01:35
1024,Classic Vanilla Gelato,1,2026-02-26,04:35
1025,Italian Tiramisu,3,2026-02-26,08:35
1026,Chocolate Hazelnut Gelato,4,2026-02-26,09:35
1027,Strawberry Cheesecake Slice,4,2026-02-26,14:35
1028,Italian Tiramisu,3,2026-02-26,15:35
1029,Chocolate Hazelnut Gelato,3,2026-02-26,20:35
1030,Classic Vanilla Gelato,1,2026-02-26,22:35
1031,Strawberry Cheesecake Slice,3,2026-02-27,02:35
1032,Classic Vanilla Gelato,3,2026-02-27,05:35
1033,Classic Vanilla Gelato,1,2026-02-27,08:35
1034,Chocolate Hazelnut Gelato,2,2026-02-27,11:35
1035,Classic Vanilla Gelato,4,2026-02-27,13:35
1036,Classic Vanilla Gelato,4,2026-02-27,15:35
1037,Italian Tiramisu,2,2026-02-27,19:35
1038,Strawberry Cheesecake Slice,4,2026-02-27,21:35
1039,Strawberry Cheesecake Slice,4,2026-02-28,00:35
1040,Classic Vanilla Gelato,3,2026-02-28,03:35
1041,Classic Vanilla Gelato,4,2026-02-28,08:35
1042,Chocolate Hazelnut Gelato,3,2026-02-28,10:35
1043,Strawberry Cheesecake Slice,4,2026-02-28,13:35
1044,Italian Tiramisu,1,2026-02-28,17:35
1045,Strawberry Cheesecake Slice,3,2026-02-28,18:35
1046,Chocolate Hazelnut Gelato,3,2026-02-28,22:35
1047,Chocolate Hazelnut Gelato,2,2026-03-01,01:35
1048,Strawberry Cheesecake Slice,1,2026-03-01,04:35
1049,Strawberry Cheesecake Slice,1,2026-03-01,08:35
1050,Classic Vanilla Gelato,2,2026-03-01,09:35
